RANK,PORT,COUNTRY,TEUs
1,Shanghai,China,"36,516"
2,Singapore,Singapore,"30,922"
3,Shenzhen,China,"24,142"
4,Ningbo,China,"20,636"
5,Hong Kong,China,"20,073"
6,Busan,South Korea,"19,469"
7,Qingdao,China,"17,323"
8,Guangzhou,China,"17,097"
9,Dubai Ports,United Arab Emirates,"15,585"
10,Tianjin,China,"13,881"
11,Rotterdam,Netherlands,"12,235"
12,Port Kelang,Malaysia,"11,887"
13,Kaohsiung,Taiwan,"10,264"
14,Antwerp,Belgium,"9,654"
15,Dalian,China,"9,591"
16,Xiamen,China,"9,215"
17,Hamburg,Germany,"8,821"
18,Tanjung Pelepas,Malaysia,"8,797"
19,Los Angeles,United States,"8,160"
20,Long Beach,United States,"7,192"
21,Laem Chabang,Thailand,"6,780"
22,Saigon Port,Vietnam,"6,556"
23,New York / New Jersey,United States,"6,372"
24,Bremen/Bremerhaven,Germany,"5,547"
25,Jeddah,Saudi Arabia,"5,417"
26,Tanjung Priok,Indonesia,"5,154"
27,Saigon New Port,Vietnam,"5,026"
28,Valencia,Spain,"4,615"
29,Algeciras - La Linea,Spain,"4,516"
30,Jawaharlal Nehru,India,"4,492"
31,Khor Fakkan,United Arab Emirates,"4,414"
32,Tokyo,Japan,"4,150"
33,Manila,Philippines,"3,976"
34,Santos,Brazil,"3,780"
35,Savannah,United States,"3,737"
36,Felixstowe,United Kingdom,"3,676"
37,Northwest Seaport Alliance,United States,"3,531"
38,Gioia Tauro,Italy,"3,512"
39,Piraeus,Greece,"3,360"
40,Balboa,Panama,"3,078"
41,Ambarli,Turkey,"3,062"
42,Metro Vancouver,Canada,"3,054"
43,East Port Said Port,Egypt,"3,036"
44,Tanger,Morocco,"2,971"
45,Yokohama,Japan,"2,787"
46,Durban,South Africa,"2,770"
47,Colon ,Panamá,"2,765"
48,Kobe,Japan,"2,707"
49,Keelung,Taiwan,"2,666"
50,Melbourne,Australia,"2,638"
51,Nagoya,Japan,"2,631"
52,Cartagena,Colombia,"2,607"
53,Mina Raysut,Oman,"2,569"
54,Le Havre,France,"2,556"
55,Virginia,United States,"2,549"
56,Manzanillo,Mexico,"2,458"
57,Inchon,South Korea,"2,368"
58,Southampton,United Kingdom,"2,349"
59,Sydney Ports,Australia,"2,330"
60,Kwangyang,South Korea,"2,327"
61,Oakland,United States,"2,278"
62,Genoa,Italy,"2,243"
63,Dublin,Ireland,"2,217"
64,Houston,United States,"2,131"
65,Chittagong,Bangladesh,"2,025"
66,Charleston,United States,"1,973"
67,Osaka,Japan,"1,970"
68,Barcelona,Spain,"1,965"
69,Karachi,Pakistan,"1,957"
70,Dammam,Saudi Arabia,"1,954"
71,Callao,Peru,"1,900"
72,Manzanillo,Panama,"1,821"
73,Guayaquil  ,Ecuador ,"1,765"
74,St. Petersburg,Russia,"1,715"
75,Bandar Abbas,Iran,"1,705"
76,Colombo,Sri Lanka,"1,662"
77,Alexandria/El-Dekheila,Egypt,"1,662"
78,Kingston,Jamaica,"1,575"
79,Chennai,India,"1,571"
80,Zeebrugge,Belgium,"1,569"
81,Bangkok,Thailand,"1,559"
82,Taichung,Taiwan,"1,447"
83,Montreal,Canada,"1,446"
84,Mersin,Turkey,"1,428"
85,Buenos Aires (incl. Exolgen),Argentina,"1,428"
86,Freeport,Bahamas,"1,400"
87,Sines,Portugal,"1,332"
88,Penang,Malaysia,"1,317"
89,Ashdod,Israel,"1,307"
90,La Spezia,Italy,"1,300"
91,Marseilles,France,"1,220"
92,Haifa,Israel,"1,215"
93,Honolulu,United States,"1,213"
94,San Juan,Puerto Rico,"1,211"
95,Belawan,Indonesia,"1,197"
96,London,United Kingdom,"1,185"
97,Brisbane,Australia,"1,152"
98,Beirut,Lebanon,"1,130"
99,Guayaquil,Ecuador,"1,125"
100,Limon/Moin,Costa Rica,"1,106"
