rank,city,country,teu,lat,lon,percent
1,Shanghai,China,36516,31.225344,121.4888922,3.5
2,Singapore,Singapore,30922,1.2904753,103.8520359,-8.7
3,Shenzhen,China,24142,22.5442673,114.0545327,0.7
4,Ningbo,China,20636,29.8720259,121.549887,6.1
5,Hong Kong,China,20073,22.2793278,114.1628131,-9.7
6,Busan,South Korea,19469,35.1799528,129.0752365,4.2
7,Qingdao,China,17323,36.0895093,120.3497193,6
8,Guangzhou,China,17097,23.1387267,113.319321,5.3
9,Dubai,United Arab Emirates,15585,25.2683521,55.2961962,2.2
10,Tianjin,China,13881,39.1235635,117.1980785,0.4
11,Rotterdam,Netherlands,12235,51.92779805,4.4886232693,-0.5
12,Port Klang,Malaysia,11887,2.9426878,101.3026870775,8.6
13,Kaohsiung,Taiwan,10264,22.6203348,120.3120375,-3.1
14,Antwerp,Belgium,9654,51.2211097,4.3997081,7.5
15,Dalian,China,9591,38.920716,121.6388678,-6.7
16,Xiamen,China,9215,24.497442,118.1355644,7.1
17,Hamburg,Germany,8821,53.550341,10.000654,-9.3
18,Tanjung Pelepas,Malaysia,8797,1.356545,103.551134,7
19,Los Angeles,United States,8160,35.054935,-118.2444759,-2.2
20,Long Beach,United States,7192,33.78538945,-118.1580492153,5.4
21,Laem Chabang,Thailand,6780,13.0970555,100.9152266,3
22,Ho Chi Minh City,Vietnam,6556,10.7758439,106.7017555,7.8
23,New York,United States,6372,40.7305991,-73.9865811,10.4
24,Bremen,Germany,5547,53.0758196,8.8071646,-8.6
25,Jeddah,Saudi Arabia,5417,21.5822247,39.1640396,-0.7
26,Tanjung Priok,Indonesia,5154,-6.1371994,106.8724978708,-11.8
27,Valencia,Spain,4615,39.4699014,-0.3759512,3.9
28,Algecira,Spain,4516,40.7302143,-0.3919266,-0.9
29,Jawaharlal Nehru,India,4492,11.6069001,79.5129138,0.7
30,Khor Fakkan,United Arab Emirates,4414,25.3570227,56.3458033,9
31,Tokyo,Japan,4150,34.2255804,139.2947745274,-5.4
32,Manila,Philippines,3976,14.5906216,120.9799696,4.3
33,Santos,Brazil,3780,-23.9608329,-46.3338889,0
34,Savannah,United States,3737,32.0835407,-81.0998341,11.7
35,Felixstowe,United Kingdom,3676,51.9639098,1.3515106,-2.9
36,Seattle,United States,3531,47.6038321,-122.3300623,4
37,Gioia Tauro,Italy,3512,38.423974,15.898995,-14.3
38,Piraeus,Greece,3360,37.9440078,23.6483599,-7.1
39,Balboa,Panama,3078,8.9508895,-79.5593284,-4.9
40,Ambarli,Turkey,3062,37.2288376,40.2773185,-7.7
41,Vancouver,Canada,3054,49.2608944,-123.1139382,4.9
42,Port Said,Egypt,3036,31.263235,32.305505,-2.8
43,Tanger,Morocco,2971,35.777103,-5.8037919,-3.8
44,Yokohama,Japan,2787,35.444991,139.636768,-3.5
45,Durban,South Africa,2770,-29.8618249,31.009909,3.9
46,Colon ,Panamá,2765,9.3560848,-79.8963424,8.8
47,Kobe,Japan,2707,34.6932379,135.1943764,3.5
