PUERTO,,,,2014,2015,,
"CAYO ARCAS, CAMP.",Mexico,Metric Tons,"41,335","41,335,342","29,838,800",0.001,"41,335"
"MANZANILLO, COL.",Mexico,Metric Tons,"28,496","28,496,427","27,998,504",0.001,"28,496"
"LAZARO CARDENAS, MICH.",Mexico,Metric Tons,"28,189","28,189,485","26,430,356",0.001,"28,189"
"COATZACOALCOS, VER.",Mexico,Metric Tons,"28,111","28,111,359","30,250,853",0.001,"28,111"
"VERACRUZ, VER.",Mexico,Metric Tons,"21,210","21,209,619","23,157,615",0.001,"21,210"
"ALTAMIRA, TAMPS.",Mexico,Metric Tons,"17,314","17,314,249","18,038,940",0.001,"17,314"
"ISLA DE CEDROS, B.C.",Mexico,Metric Tons,"17,103","17,103,167","15,283,901",0.001,"17,103"
"SALINA CRUZ, OAX.",Mexico,Metric Tons,"13,464","13,464,029","13,814,960",0.001,"13,464"
"TUXPAN, VER.",Mexico,Metric Tons,"12,427","12,427,286","13,288,420",0.001,"12,427"
"PUNTA VENADO, Q. ROO",Mexico,Metric Tons,"10,842","10,841,786","12,996,494",0.001,"10,842"
"DOS BOCAS, TAB.",Mexico,Metric Tons,"10,351","10,351,070","22,290,449",0.001,"10,351"
"GUERRERO NEGRO, B.C.S.",Mexico,Metric Tons,"8,221","8,220,674","7,720,025",0.001,"8,221"
"GUAYMAS, SON.",Mexico,Metric Tons,"7,831","7,830,651","7,616,937",0.001,"7,831"
"TAMPICO, TAMPS.",Mexico,Metric Tons,"6,785","6,785,295","6,461,204",0.001,"6,785"
"TOPOLOBAMPO, SIN.",Mexico,Metric Tons,"5,939","5,939,151","5,961,007",0.001,"5,939"
"PROGRESO, YUC.",Mexico,Metric Tons,"4,252","4,252,463","4,491,034",0.001,"4,252"
"CUYUTLAN, COL.",Mexico,Metric Tons,"3,481","3,480,547","2,961,326",0.001,"3,481"
"MAZATLAN, SIN.",Mexico,Metric Tons,"3,263","3,263,052","3,475,603",0.001,"3,263"
"ROSARITO, B.C.",Mexico,Metric Tons,"2,604","2,603,852","2,698,897",0.001,"2,604"
"ENSENADA, B.C.",Mexico,Metric Tons,"2,320","2,319,521","2,087,292",0.001,"2,320"
"PICHILINGUE, B.C.S.",Mexico,Metric Tons,"2,222","2,222,153","2,446,407",0.001,"2,222"
"LA PAZ, B.C.S.",Mexico,Metric Tons,"2,067","2,067,385","2,057,166",0.001,"2,067"
"ISLA SAN MARCOS, B.C.S.",Mexico,Metric Tons,"1,821","1,821,349","1,980,808",0.001,"1,821"
"SAN JUAN DE LA COSTA, B.C.S.",Mexico,Metric Tons,"1,802","1,801,599","1,704,405",0.001,"1,802"
"PUNTA SANTA MARIA, B.C.S.",Mexico,Metric Tons,881,"881,353","1,058,137",0.001,881
"LERMA, CAMP.",Mexico,Metric Tons,860,"859,655","539,669",0.001,860
"COZUMEL, Q. ROO",Mexico,Metric Tons,857,"856,905","811,712",0.001,857
"ACAPULCO, GRO.",Mexico,Metric Tons,620,"620,328","512,592",0.001,620
"PUERTO LIBERTAD, SON.",Mexico,Metric Tons,482,"482,026","70,088",0.001,482
"CD. DEL CARMEN, CAMP.",Mexico,Metric Tons,302,"302,246","357,042",0.001,302
"PUNTA SAM, Q. ROO",Mexico,Metric Tons,284,"283,963","328,304",0.001,284
"ISLA MUJERES, Q. ROO",Mexico,Metric Tons,284,"283,963","328,304",0.001,284
"SAN CARLOS, B.C.S.",Mexico,Metric Tons,160,"160,050","184,116",0.001,160
"PUERTO CHIAPAS, CHIS.",Mexico,Metric Tons,140,"140,289","231,925",0.001,140
"EL SAUZAL, B.C.",Mexico,Metric Tons,79,"78,575","99,722",0.001,79
"SANTA ROSALIA, B.C.S.",Mexico,Metric Tons,50,"49,738","20,881",0.001,50
"PUERTO MORELOS, Q. ROO",Mexico,Metric Tons,43,"42,740","44,845",0.001,43
"LAS COLORADAS, YUC.",Mexico,Metric Tons,41,"40,917","8,042",0.001,41
"SEYBAPLAYA, CAMP.",Mexico,Metric Tons,13,"13,343","35,790",0.001,13
"FRONTERA, TAB.",Mexico,Metric Tons,2,"1,550",                             -  ,0.001,2
