,,,,,,,,Port,Country,2014
1,,,2014,,,,,,,
2,Shanghai,China,"35,286",0.001,"2,913",,,Shanghai,China,"35,286"
3,Singapore,Singapore,"33,869",0.001,24,,,Singapore,Singapore,"33,869"
4,Shenzhen,China,"23,798",0.001,618,,,Shenzhen,China,"23,798"
5,Hong Kong,China,"22,374",0.001,140,,,Hong Kong,China,"22,374"
6,Ningbo,China,"19,450",0.001,10,,,Ningbo,China,"19,450"
7,Busan,South Korea,"18,423",0.001,997,,,Busan,South Korea,"18,423"
8,Qingdao,China,"16,624",0.001,"2,369",,,Qingdao,China,"16,624"
9,Guangzhou,China,"16,160",0.001,34,,,Guangzhou,China,"16,160"
10,Dubai Ports,United Arab Emirates,"14,750",0.001,0,,,Dubai Ports,United Arab Emirates,"14,750"
11,Tianjin,China,"14,050",0.001,584,,,Tianjin,China,"14,050"
12,Rotterdam,Netherlands,"12,453",0.001,161,,,Rotterdam,Netherlands,"12,453"
13,Port Kelang,Malaysia,"10,736",0.001,23,,,Port Kelang,Malaysia,"10,736"
14,Kaohsiung,Taiwan,"10,593",0.001,0,,,Kaohsiung,Taiwan,"10,593"
15,Dalian,China,"10,128",0.001,39,,,Dalian,China,"10,128"
16,Hamburg,Germany,"9,729",0.001,"1,130",,,Hamburg,Germany,"9,729"
17,Antwerp,Belgium,"9,136",0.001,97,,,Antwerp,Belgium,"9,136"
18,Xiamen,China,"8,572",0.001,100,,,Xiamen,China,"8,572"
19,Los Angeles,United States,"8,340",0.001,9,,,Tanjung Pelepas,Malasyia,"7,897"
20,Tanjung Pelepas,Malasyia,"7,897",0.001,2,,,Laem Chabang,Thailand,"6,518"
21,Long Beach,United States,"6,821",0.001,2,,,Saigon Port Co. LTD,Viet Nam,"6,334"
22,Laem Chabang,Thailand,"6,518",0.001,76,,,Bremen Ports,Germany,"5,796"
23,Saigon Port Co. LTD,Viet Nam,"6,334",0.001,"6,821",,,Yingkou,China,"5,768"
24,Bremen Ports,Germany,"5,796",0.001,0,,,Tanjung Priok,Indonesia,"5,034"
25,New York/New Jersey,United States,"5,772",0.001,"8,340",,,Lianyungang,China,"5,005"
26,Yingkou,China,"5,768",0.001,48,,,Tokyo,Japan,"4,917"
27,Tanjung Priok,Indonesia,"5,034",0.001,"2,394",,,Saigon New Port,Viet Nam,"4,750"
28,Lianyungang,China,"5,005",0.001,0,,,Jawaharlal Nehru,India,"4,496"
29,Tokyo,Japan,"4,917",0.001,165,,,Algeciras - La Linea,Spain,"4,457"
30,Saigon New Port,Viet Nam,"4,750",0.001,0,,,Valencia,Spain,"4,442"
31,Jawaharlal Nehru,India,"4,496",0.001,109,,,Khor Fakkan,United Arab Emirates,"4,256"
32,Algeciras - La Linea,Spain,"4,457",0.001,0,,,Jeddah,Saudi Arabia,"4,200"
33,Valencia,Spain,"4,442",0.001,"3,456",,,Colombo,Sri Lanka,"4,097"
34,Khor Fakkan,United Arab Emirates,"4,256",0.001,8,,,Santos,Brazil,"3,685"
35,Jeddah,Saudi Arabia,"4,200",0.001,1,,,Felixstowe,UK,"3,680"
36,Colombo,Sri Lanka,"4,097",0.001,400,,,Manila,Philippines,"3,673"
37,Santos,Brazil,"3,685",0.001,0,,,Ambarli,Turkey,"3,445"
38,Santos,Brazil,"3,685",0.001,"1,402",,,Tanger,Morocco,"3,354"
39,Felixstowe,UK,"3,680",0.001,90,,,Balboa,Panama,"3,236"
40,Manila,Philippines,"3,673",0.001,3,,,Gioia Tauro,Italy,"3,062"
41,Seattle/Tacoma Seaport Alliance,United States,"3,456",0.001,770,,,East Port Said Port,Egypt,"3,036"
42,Ambarli,Turkey,"3,445",0.001,214,,,Mina Raysut (Salalah),Oman,"3,030"
43,Tanger,Morocco,"3,354",0.001,0,,,Keelung,Taiwan,"2,943"
44,Savannah,United States,"3,346",0.001,0,,,Marsaxlokk,Malta,"2,869"
45,Balboa,Panama,"3,236",0.001,0,,,Yokohama,Japan,"2,775"
46,Balboa,Panama,"3,236",0.001,"1,792",,,Port,Country,"2,014"
47,Gioia Tauro,Italy,"3,062",0.001,0,,,Nagoya,Japan,"2,740"
48,East Port Said Port,Egypt,"3,036",0.001,9,,,Bandar Abbas,Iran,"2,691"
49,Mina Raysut (Salalah),Oman,"3,030",0.001,0,,,Durban,South Africa,"2,664"
50,Keelung,Taiwan,"2,943",0.001,"2,393",,,Kobe,Japan,"2,628"
51,Metro Port Vancouver ,Canada,"2,913",0.001,937,,,Le Havre,France,"2,554"
52,Marsaxlokk,Malta,"2,869",0.001,877,,,Melbourne,Australia,"2,554"
