rank,city,country,teu,lat,lon
1,Shanghai,China,36516,31.2253441,121.4888922
2,Singapore,Singapore,30922,1.2904753,103.8520359
3,Shenzhen,China,24142,22.5442673,114.0545327
4,Ningbo,China,20636,29.8720259,121.549887
5,Hong Kong,China,20073,22.2793278,114.1628131
6,Busan,South Korea,19469,35.1799528,129.0752365
7,Qingdao,China,17323,36.0895093,120.3497193
8,Guangzhou,China,17097,23.1387267,113.319321
9,Dubai,United Arab Emirates,15585,25.2683521,55.2961962
10,Tianjin,China,13881,39.1235635,117.1980785
11,Rotterdam,Netherlands,12235,51.92779805,4.48862326925829
12,Port Klang,Malaysia,11887,2.9426878,101.302687077451
13,Kaohsiung,Taiwan,10264,22.6203348,120.3120375
14,Antwerp,Belgium,9654,51.2211097,4.3997081
15,Dalian,China,9591,38.920716,121.6388678
16,Xiamen,China,9215,24.497442,118.1355644
17,Hamburg,Germany,8821,53.550341,10.000654
18,Tanjung Pelepas,Malaysia,8797,1.356545,103.551134
19,Los Angeles,United States,8160,34.054935,-118.2444759
20,Long Beach,United States,7192,33.78538945,-118.158049215311
21,Laem Chabang,Thailand,6780,13.0970555,100.9152266
22,Saigon,Vietnam,6556,10.7758439,106.7017555
23,New York,United States,6372,40.7305991,-73.9865811
24,Bremen,Germany,5547,53.0758196,8.8071646
25,Jeddah,Saudi Arabia,5417,21.5822247,39.1640396
26,Tanjung Priok,Indonesia,5154,-6.1371994,106.872497870773
27,Saigon,Vietnam,5026,10.7758439,106.7017555
28,Valencia,Spain,4615,39.4699014,-0.3759512
29,Algecira,Spain,4516,40.7302143,-0.3919266
30,Jawaharlal Nehru,India,4492,11.6069001,79.5129138
31,Khor Fakkan,United Arab Emirates,4414,25.3570227,56.3458033
32,Tokyo,Japan,4150,34.2255804,139.294774527387
33,Manila,Philippines,3976,14.5906216,120.9799696
34,Santos,Brazil,3780,-23.9608329,-46.3338889
35,Savannah,United States,3737,32.0835407,-81.0998341
36,Felixstowe,United Kingdom,3676,51.9639098,1.3515106
37,Seattle,United States,3531,47.6038321,-122.3300623
38,Gioia Tauro,Italy,3512,38.423974,15.898995
39,Piraeus,Greece,3360,37.9440078,23.6483599
40,Balboa,Panama,3078,8.9508895,-79.5593284
41,Ambarli,Turkey,3062,37.2288376,40.2773185
42,Vancouver,Canada,3054,49.2608944,-123.1139382
43,Port Said,Egypt,3036,31.263235,32.305505
44,Tanger,Morocco,2971,35.777103,-5.8037919
45,Yokohama,Japan,2787,35.444991,139.636768
46,Durban,South Africa,2770,-29.8618249,31.009909
47,Colon ,Panamá,2765,9.3560848,-79.8963424
48,Kobe,Japan,2707,34.6932379,135.1943764
49,Keelung,Taiwan,2666,25.1317051,121.7446489
50,Melbourne,Australia,2638,-37.8142175,144.9631608
51,Nagoya,Japan,2631,35.15792,136.90448
52,Cartagena,Colombia,2607,10.4195841,-75.5271223
53,Mina Raysut,Oman,2569,16.9467469,54.0036689
54,Le Havre,France,2556,49.4938975,0.1079732
55,Virginia,United States,2549,37.1232245,-78.492772
56,Manzanillo,Mexico,2458,19.12765695,-104.284125530077
57,Inchon,South Korea,2368,37.4693697,126.6613778
58,Southampton,United Kingdom,2349,50.9025349,-1.4041889
59,Sydney,Australia,2330,-33.8548156,151.2164539
60,Kwangyang,South Korea,2327,33.5021754,126.5291977
61,Oakland,United States,2278,37.8044557,-122.2713562
62,Genoa,Italy,2243,44.40726,8.9338624
63,Dublin,Ireland,2217,53.4064361,-6.28709715390942
64,Houston,United States,2131,29.7589382,-95.3676973
65,Chittagong,Bangladesh,2025,22.3307998,91.8412863
66,Charleston,United States,1973,32.7876012,-79.9402727
67,Osaka,Japan,1970,40.6932715,-111.9545823
68,Barcelona,Spain,1965,41.3825596,2.1771353
69,Karachi,Pakistan,1957,25.147872,67.1821931713384
70,Dammam,Saudi Arabia,1954,26.4367824,50.1039991
71,Callao,Peru,1900,-12.0666669,-77.1499999
72,Manzanillo,Panama,1821,8.1936268,-82.8756962
73,Guayaquil  ,Ecuador ,1765,-2.1704142,-79.9050239842774
74,St. Petersburg,Russia,1715,59.9387318,30.3162286
75,Bandar Abbas,Iran,1705,27.18109,56.277491
76,Colombo,Sri Lanka,1662,6.9349969,79.853845
77,Alexandria,Egypt,1662,31.199004,29.894378
78,Kingston,Jamaica,1575,17.9712148,-76.7928127
79,Chennai,India,1571,13.0801721,80.2838331
80,Zeebrugge,Belgium,1569,51.331382,3.2078842
81,Bangkok,Thailand,1559,13.7538929,100.8160803
82,Taichung,Taiwan,1447,24.163162,120.6478282
83,Montreal,Canada,1446,45.4972159,-73.6103641
84,Mersin,Turkey,1428,36.81275,34.630542
85,Buenos Aires,Argentina,1428,-34.6075797,-58.4375796
86,Freeport,Bahamas,1400,26.535681,-78.6953622
87,Sines,Portugal,1332,37.92694175,-8.74993776808114
88,Penang,Malaysia,1317,5.4065013,100.2559077
89,Ashdod,Israel,1307,31.7977307,34.652994
90,La Spezia,Italy,1300,44.107033,9.8282255
91,Marseilles,France,1220,47.0706778,3.0029271
92,Haifa,Israel,1215,32.8191218,34.9983856
93,Honolulu,United States,1213,21.304547,-157.8556763
94,San Juan,Puerto Rico,1211,18.465299,-66.1166659
95,Belawan,Indonesia,1197,-0.1588984,114.4643667
96,London,United Kingdom,1185,51.5073219,-0.1276473
97,Brisbane,Australia,1152,-27.4689681,153.0234991
98,Beirut,Lebanon,1130,33.8959203,35.47843
99,Guayaquil,Ecuador,1125,-2.1704142,-79.9050239842774
100,Limon,Costa Rica,1106,9.9948993,-83.0304595
